model,configuration,tvl,trade_fraction,gross_input,fee_paid,net_input,output,execution_price,slippage
Curve StableSwap,A=10,1000000,0.001,1000.0,0.4,999.6,999.4183596560033,0.9994183596560033,0.0005816296400164012
Curve StableSwap,A=10,1000000,0.005,5000.0,2.0,4998.0,4993.461930554593,0.9986923861109186,0.001307603192876483
Curve StableSwap,A=10,1000000,0.01,10000.0,4.0,9996.0,9977.859712589823,0.9977859712589823,0.0022140180545207055
Curve StableSwap,A=10,1000000,0.02,20000.0,8.0,19992.0,19919.498999559844,0.9959749499779922,0.004025039354907167
Curve StableSwap,A=10,1000000,0.05,50000.0,20.0,49980.0,49526.23155512614,0.9905246311025229,0.009475358288750568
Curve StableSwap,A=10,1000000,0.1,100000.0,40.0,99960.0,98117.21610889764,0.9811721610889764,0.018827828402463997
Curve StableSwap,A=10,1000000,0.2,200000.0,80.0,199920.0,191945.83249722933,0.9597291624861467,0.04027082723495268
Curve StableSwap,A=100,1000000,0.001,1000.0,0.4,999.6,999.5802141723107,0.9995802141723107,0.0004198100319108278
Curve StableSwap,A=100,1000000,0.005,5000.0,2.0,4998.0,4997.505346964404,0.9995010693928809,0.0004989548094241902
Curve StableSwap,A=100,1000000,0.01,10000.0,4.0,9996.0,9994.021002321504,0.9994021002321504,0.0005979239677582626
Curve StableSwap,A=100,1000000,0.02,20000.0,8.0,19992.0,19984.076267034456,0.9992038133517228,0.0007962108433843262
Curve StableSwap,A=100,1000000,0.05,50000.0,20.0,49980.0,49930.09575419332,0.9986019150838663,0.0013981090966662668
Curve StableSwap,A=100,1000000,0.1,100000.0,40.0,99960.0,99754.51410470827,0.9975451410470827,0.0024548831078607947
Curve StableSwap,A=100,1000000,0.2,200000.0,80.0,199920.0,198986.97308428044,0.9949348654214022,0.005065158670335079
Curve StableSwap,A=1000,1000000,0.001,1000.0,0.4,999.6,999.5980035919929,0.9995980035919929,0.0004020206126593706
Curve StableSwap,A=1000,1000000,0.005,5000.0,2.0,4998.0,4997.95008542313,0.999590017084626,0.00041000711983285587
Curve StableSwap,A=1000,1000000,0.01,10000.0,4.0,9996.0,9995.80028393562,0.999580028393562,0.0004199958106549939
Curve StableSwap,A=1000,1000000,0.02,20000.0,8.0,19992.0,19991.20019432198,0.999560009716099,0.00044001448763320017
Curve StableSwap,A=1000,1000000,0.05,50000.0,20.0,49980.0,49974.959232383175,0.9994991846476635,0.0005008395545958999
Curve StableSwap,A=1000,1000000,0.1,100000.0,40.0,99960.0,99939.21108760842,0.9993921108760841,0.0006079133235825651
Curve StableSwap,A=1000,1000000,0.2,200000.0,80.0,199920.0,199825.04084827047,0.9991252042413523,0.0008748199518513466
Balancer Weighted,50/50,1000000,0.001,1000.0,3.0,997.0,995.0159382192126,0.9950159382192125,0.004984061780787474
Balancer Weighted,50/50,1000000,0.005,5000.0,15.0,4985.0,4935.790171985311,0.9871580343970622,0.012841965602937822
